TAIL_NUMBER,YEAR MANUFACTURED,MANUFACTURER,MODEL,NO-ENG,NO-SEATS
N798SW,1998,BOEING                        ,737-7AD             ,2,128
N77258,2000,BOEING                        ,737-824             ,2,149
N834AW,    ,AIRBUS                        ,A319-132            ,2,179
N490AA,1989,MCDONNELL DOUGLAS             ,DC-9-82(MD-82)      ,2,172
N180DN,1992,BOEING                        ,767-332             ,2,330
N335NW,1992,AIRBUS INDUSTRIE              ,A320-212            ,2,182
N384DA,1999,BOEING                        ,737-832             ,2,189
N936DL,1989,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N985DL,1991,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N918DH,1996,MCDONNELL DOUGLAS             ,MD-90-30            ,2,142
N964DL,1990,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N937DN,    ,MCDONNELL DOUGLAS             ,MD-90-30            ,2,142
N978DL,1991,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N376NW,2002,AIRBUS                        ,A320-212            ,2,182
N12569,2002,EMBRAER                       ,EMB-145LR           ,2,55
N498CA,2003,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N910EV,2002,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N3764D,2001,BOEING                        ,737-832             ,2,189
N117SY,2014,EMBRAER S A                   ,ERJ 170-200 LR      ,2,88
N442UA,1998,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N228WN,2005,BOEING                        ,737-7H4             ,2,140
N8306H,2012,BOEING                        ,737-8H4             ,2,140
N731SA,1999,BOEING                        ,737-7H4             ,2,140
N794SW,2001,BOEING                        ,737-7H4             ,2,140
N784SW,2000,BOEING                        ,737-7H4             ,2,140
N256WN,2006,BOEING                        ,737-7H4             ,2,140
N76505,    ,BOEING                        ,737-824             ,2,149
N665AW,2001,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N592AS,2008,BOEING                        ,737-890             ,2,149
N588JB,2004,AIRBUS                        ,A320-232            ,2,200
N583HA,    ,BOEING                        ,767-33A             ,2,330
N381HA,2010,AIRBUS                        ,A330-243            ,2,377
N14116,2002,EMBRAER                       ,EMB-145XR           ,2,55
N840UA,2001,AIRBUS INDUSTRIE              ,A319-131            ,2,179
N687DL,1998,BOEING                        ,757-232             ,2,178
N11536,2001,EMBRAER                       ,EMB-145LR           ,2,55
N408UA,1994,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N693CA,2006,BOMBARDIER INC                ,CL-600-2D24         ,2,95
N272AY,2000,AIRBUS INDUSTRIE              ,A330-323            ,2,379
N740UW,2000,AIRBUS INDUSTRIE              ,A319-112            ,2,179
N822AW,2000,AIRBUS INDUSTRIE              ,A319-132            ,2,179
N545UW,2011,AIRBUS                        ,A321-231            ,2,379
N742PS,2000,AIRBUS INDUSTRIE              ,A319-112            ,2,179
